YEAR,CASENUM,WEIGHT,A_CRAINJ,A_INTER,A_RELRD,A_INTSEC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_HR,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24
2016,201600014311,219.79547524,3,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600014315,186.63475792,2,2,1,1,1,3,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600014316,32.222549915,2,2,4,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
2016,201600014335,317.68153186,3,2,1,1,1,3,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1
2016,201600014586,37.251626333,2,2,1,2,3,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2
2016,201600014593,379.90576962,3,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2016,201600014603,210.22081048,2,2,1,2,2,2,1,1,3,2,2,2,1,2,2,2,2,2,2,2,1,2,2
2016,201600014610,42.692621452,2,2,1,2,2,5,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
2016,201600014622,247.51222257,3,2,1,1,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600014624,37.251626333,2,2,1,1,1,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2
2016,201600015222,317.68153186,3,2,1,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600015227,73.193140876,2,2,1,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600015251,427.80596149,3,2,4,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2
2016,201600015256,292.02473906,3,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2016,201600015257,50.453748631,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600015268,50.453748631,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2
2016,201600015305,248.71541756,3,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600015805,182.43353255,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600015883,182.43353255,2,2,4,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2016,201600015924,119.83077838,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600015934,183.80663792,3,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600015940,310.40470173,3,2,4,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2016,201600015944,24.56993937,2,2,1,1,1,4,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600015948,219.79547524,3,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600015958,186.63475792,2,2,4,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,1
2016,201600015960,63.697534598,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1
2016,201600015967,317.68153186,3,2,4,2,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2016,201600016011,183.80663792,3,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016014,215.218122,3,1,1,2,3,5,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600016016,310.40470173,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1
2016,201600016018,182.43353255,2,2,1,2,2,2,1,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2
2016,201600016026,40.555730682,2,2,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2
2016,201600016027,89.222607501,2,2,1,2,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016163,317.68153186,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600016164,34.558085527,4,2,1,2,2,3,1,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2016,201600016166,54.086402528,2,2,1,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016167,33.379413655,2,2,1,2,3,4,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
2016,201600016169,268.97048065,3,2,4,2,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600016171,174.05401633,3,1,1,2,2,5,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016175,26.423121005,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016176,54.086402526,2,2,1,2,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016184,26.423121005,2,2,4,2,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016195,198.91180386,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600016200,73.193140876,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600016203,219.79547524,3,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016215,186.63475792,2,2,1,1,1,4,1,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600016218,317.68153186,3,2,1,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016237,219.79547524,3,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016254,35.950176889,2,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
2016,201600016258,73.193140876,2,2,1,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016261,317.68153186,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016301,139.83639947,2,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016319,219.79547524,3,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016321,186.63475792,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016323,268.97048065,2,2,4,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016343,137.27110719,2,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
