CASENUM,VEH_NO,PSU,PJ,STRATUM,MDRDSTRD,URBANICITY,REGION,PSUSTRAT,PSU_VAR,WEIGHT
201600014311,1,44,388,9,92,2,4,25,44,219.79547524
201600014311,2,44,388,9,0,2,4,25,44,219.79547524
201600014315,1,44,388,8,0,2,4,25,44,186.63475792
201600014315,2,44,388,8,0,2,4,25,44,186.63475792
201600014316,1,44,388,5,0,2,4,25,44,32.222549915
201600014335,1,44,388,10,0,2,4,25,44,317.68153186
201600014335,2,44,388,10,0,2,4,25,44,317.68153186
201600014586,1,24,170,2,0,2,4,24,24,37.251626333
201600014593,1,24,170,10,0,2,4,24,24,379.90576962
201600014593,2,24,170,10,0,2,4,24,24,379.90576962
201600014603,1,24,170,8,99,2,4,24,24,210.22081048
201600014603,2,24,170,8,0,2,4,24,24,210.22081048
201600014603,3,24,170,8,0,2,4,24,24,210.22081048
201600014603,4,24,170,8,0,2,4,24,24,210.22081048
201600014610,1,24,170,3,0,2,4,24,24,42.692621452
201600014610,2,24,170,3,0,2,4,24,24,42.692621452
201600014622,1,24,172,9,0,2,4,24,24,247.51222257
201600014622,2,24,172,9,0,2,4,24,24,247.51222257
201600014624,1,24,173,2,0,2,4,24,24,37.251626333
201600015222,1,44,388,10,0,2,4,25,44,317.68153186
201600015222,2,44,388,10,0,2,4,25,44,317.68153186
201600015227,1,44,388,6,0,2,4,25,44,73.193140876
201600015227,2,44,388,6,0,2,4,25,44,73.193140876
201600015227,3,44,388,6,0,2,4,25,44,73.193140876
201600015251,1,10,322,10,99,1,4,21,10,427.80596149
201600015256,1,10,322,9,0,1,4,21,10,292.02473906
201600015256,2,10,322,9,0,1,4,21,10,292.02473906
201600015257,1,10,322,2,1,1,4,21,10,50.453748631
201600015268,1,10,322,2,0,1,4,21,10,50.453748631
201600015305,1,58,3247,10,96,1,2,6,58,248.71541756
201600015805,1,63,2907,8,0,2,3,16,63,182.43353255
201600015805,2,63,2907,8,0,2,3,16,63,182.43353255
201600015883,1,63,2906,8,0,2,3,16,63,182.43353255
201600015924,1,27,892,7,0,1,2,6,27,119.83077838
