CASENUM,VEH_NO,PER_NO,PSU,PJ,STRATUM,NMIMPAIR,URBANICITY,REGION,PSUSTRAT,PSU_VAR,WEIGHT
201600014586,0,1,24,170,2,0,2,4,24,24,37.251626333
201600015257,0,1,10,322,2,0,1,4,21,10,50.453748631
201600015268,0,1,10,322,2,0,1,4,21,10,50.453748631
201600016254,0,1,44,388,2,0,2,4,25,44,35.950176889
201600016493,0,1,27,893,2,0,1,2,6,27,23.77303521
201600016648,0,1,27,893,2,9,1,2,6,27,23.77303521
201600017146,0,1,60,232,2,0,1,4,21,60,54.432709771
201600017191,0,1,60,232,2,0,1,4,21,60,54.432709771
201600017255,0,1,60,232,2,0,1,4,21,60,54.432709771
201600017286,0,1,10,329,2,0,1,4,21,10,82.836785936
201600018282,0,1,70,137,2,0,2,3,16,70,28.248233112
201600018702,0,1,70,138,2,0,2,3,16,70,28.248233112
201600018749,0,1,46,362,2,0,1,4,22,46,29.078645582
201600018902,0,1,70,138,2,0,2,3,16,70,28.248233112
201600019253,0,1,65,2851,2,98,1,3,13,65,24.694921393
201600020218,0,1,26,721,2,9,2,2,9,26,65.169189199
201600020283,0,1,60,232,2,0,1,4,21,60,54.432709771
201600020464,0,1,44,388,2,0,2,4,25,44,35.950176889
201600020476,0,1,44,388,2,0,2,4,25,44,35.950176889
201600020753,0,1,40,3076,2,0,1,3,15,40,46.042834217
201600021242,0,1,70,137,2,0,2,3,16,70,28.248233112
201600021441,0,1,37,3202,2,0,2,4,24,37,42.093845655
201600021903,0,1,40,3076,2,9,1,3,15,40,40.068655937
201600021925,0,1,40,3076,2,0,1,3,15,40,46.042834217
201600022051,0,1,63,2906,2,0,2,3,16,63,26.068788355
201600022052,0,1,63,2906,2,0,2,3,16,63,26.068788355
201600022451,0,1,22,1247,2,10,2,1,5,22,19.72555952
201600022639,0,1,60,257,2,9,1,4,21,60,54.432709771
201600022680,0,1,60,257,2,0,1,4,21,60,54.432709771
201600022788,0,1,60,257,2,0,1,4,21,60,54.432709771
201600023899,0,1,65,2851,2,0,1,3,13,65,28.376898229
201600023981,0,1,70,46,2,0,2,3,16,70,28.248233112
201600024206,0,1,46,353,2,0,1,4,22,46,29.078645582
201600025078,0,1,46,337,2,0,1,4,22,46,29.078645581
201600025117,0,1,63,2972,2,98,2,3,16,63,26.068788355
201600025463,0,1,46,337,2,0,1,4,22,46,29.078645581
201600025480,0,1,65,2855,2,0,1,3,13,65,28.37689823
201600025666,0,1,37,3200,2,9,2,4,24,37,42.093845655
201600026302,0,1,65,2851,2,0,1,3,13,65,28.376898229
201600026570,0,1,46,338,2,0,1,4,22,46,75.578061876
201600026597,0,1,60,232,2,0,1,4,21,60,54.432709771
201600026754,0,1,49,268,2,0,1,4,21,49,113.37016067
201600026915,0,1,49,268,2,0,1,4,21,49,113.37016067
201600027542,0,1,63,2907,2,98,2,3,16,63,26.068788355
201600027607,0,1,63,2825,2,98,2,3,16,63,26.068788355
201600027782,0,1,48,85,2,99,1,3,12,48,71.810376184
201600027897,0,1,70,46,2,9,2,3,16,70,28.248233112
201600028207,0,1,65,2854,2,98,1,3,13,65,24.694921392
201600028511,0,1,67,1921,2,0,1,2,8,67,25.220769815
201600028841,0,1,10,329,2,0,1,4,21,10,82.836785936
201600029159,0,1,65,2851,2,98,1,3,13,65,28.376898229
201600029641,0,1,46,353,2,0,1,4,22,46,29.078645582
201600029844,0,1,40,3076,2,9,1,3,15,40,46.042834217
201600030127,0,1,47,2034,2,96,2,2,9,47,68.513530167
201600030743,0,1,46,362,2,0,1,4,22,46,29.078645582
201600030871,0,1,46,362,2,0,1,4,22,46,29.078645582
201600030921,0,1,60,232,2,0,1,4,21,60,54.432709771
201600030921,0,2,60,232,2,0,1,4,21,60,54.432709771
201600030982,0,1,46,362,2,9,1,4,22,46,29.078645582
201600031065,0,1,10,322,2,0,1,4,21,10,50.453748631
201600031127,0,1,67,1919,2,0,1,2,8,67,25.220769816
201600031338,0,1,70,138,2,0,2,3,16,70,28.248233112
201600031424,0,1,46,362,2,0,1,4,22,46,29.078645582
201600031455,0,1,46,362,2,0,1,4,22,46,29.078645582
201600031480,0,1,46,362,2,0,1,4,22,46,29.078645582
201600032388,0,1,46,337,2,0,1,4,22,46,29.078645581
201600032592,0,1,37,3200,2,0,2,4,24,37,42.093845655
201600032681,0,1,37,3200,2,0,2,4,24,37,42.093845655
201600032831,0,1,40,3076,10,0,1,3,15,40,438.91425837
201600033128,0,1,65,2851,2,0,1,3,13,65,28.376898229
201600033356,0,1,67,1919,2,0,1,2,8,67,25.220769816
201600033356,0,2,67,1919,2,0,1,2,8,67,25.220769816
201600033546,0,1,65,2851,2,0,1,3,13,65,28.376898229
201600034040,0,1,67,1919,2,0,1,2,8,67,25.220769816
201600034172,0,1,63,2907,2,98,2,3,16,63,26.068788355
201600034200,0,1,37,3200,2,0,2,4,24,37,42.093845655
201600034380,0,1,44,388,2,0,2,4,25,44,35.950176889
201600034932,0,1,65,2857,2,0,1,3,13,65,28.37689823
201600035025,0,1,70,46,2,0,2,3,16,70,28.248233112
201600035083,0,1,70,136,2,0,2,3,16,70,28.248233112
201600035115,0,1,70,136,2,0,2,3,16,70,28.248233112
201600035173,0,1,75,1230,2,9,2,3,19,75,21.609418817
201600035181,0,1,75,1230,2,98,2,3,19,75,21.609418817
201600035192,0,1,75,1230,2,9,2,3,19,75,21.609418817
201600035271,0,1,75,1230,2,99,2,3,19,75,21.609418817
201600035437,0,1,75,1231,2,99,2,3,19,75,24.255972105
201600035659,0,1,75,1227,2,99,2,3,19,75,21.609418817
201600036923,0,1,15,2513,2,0,2,1,5,15,28.274250776
201600036943,0,1,65,2851,2,0,1,3,13,65,28.376898229
201600037222,0,1,75,1225,2,0,2,3,19,75,21.609418817
201600037737,0,1,65,2851,2,0,1,3,13,65,28.376898229
201600038267,0,1,40,3076,2,9,1,3,15,40,46.042834217
201600038442,0,1,63,2907,2,98,2,3,16,63,26.068788355
201600038519,0,1,67,1919,2,0,1,2,8,67,25.220769816
201600038694,0,1,37,3200,2,0,2,4,24,37,42.093845655
201600038802,0,1,65,2881,2,98,1,3,13,65,28.376898228
201600038909,0,1,70,138,2,0,2,3,16,70,28.248233112
201600039124,0,1,10,315,2,0,1,4,21,10,82.836785936
201600039278,0,1,10,315,2,0,1,4,21,10,82.836785936
201600039399,0,1,10,314,2,0,1,4,21,10,82.836785937
201600039493,0,1,46,338,2,0,1,4,22,46,75.578061876
201600039563,0,1,49,268,2,0,1,4,21,49,113.37016067
201600039578,0,1,49,268,2,0,1,4,21,49,113.37016067
201600039642,0,1,49,268,2,0,1,4,21,49,113.37016067
201600039672,0,1,49,260,2,0,1,4,21,49,113.37016067
201600039686,0,1,49,260,2,0,1,4,21,49,113.37016067
201600039749,0,1,49,260,2,0,1,4,21,49,113.37016067
201600040104,0,1,49,260,2,0,1,4,21,49,113.37016067
201600040154,0,1,49,260,2,0,1,4,21,49,113.37016067
201600041417,0,1,67,1919,2,0,1,2,8,67,25.220769816
201600041571,0,1,75,1230,2,0,2,3,19,75,21.609418817
201600041583,0,1,81,3131,2,0,2,1,4,81,23.08110435
201600041589,0,1,81,3122,2,0,2,1,4,81,23.081104351
201600041643,0,1,65,2851,2,0,1,3,13,65,28.376898229
201600042126,0,1,60,257,2,0,1,4,21,60,54.432709771
201600042189,0,1,60,257,2,0,1,4,21,60,54.432709771
201600042323,0,1,60,257,2,0,1,4,21,60,54.432709771
201600042367,0,1,60,257,2,9,1,4,21,60,54.432709771
201600042392,0,1,60,257,2,0,1,4,21,60,54.432709771
201600042408,0,1,60,257,2,0,1,4,21,60,54.432709771
201600042453,0,1,60,257,2,0,1,4,21,60,54.432709771
201600042959,0,1,51,1098,2,0,1,3,10,51,25.885392006
201600043075,0,1,63,2907,2,0,2,3,16,63,26.068788355
201600043172,0,1,37,3201,2,9,2,4,24,37,42.093845655
201600043329,0,1,25,2092,2,0,1,2,8,25,82.605494504
201600043892,0,1,49,260,2,0,1,4,21,49,113.37016067
201600044005,0,1,65,2855,2,0,1,3,13,65,28.37689823
201600044847,0,1,70,46,2,0,2,3,16,70,28.248233112
201600045366,0,1,65,2851,2,0,1,3,13,65,28.376898229
201600046173,0,1,67,1919,2,0,1,2,8,67,25.220769816
201600046204,0,1,65,2851,2,0,1,3,13,65,28.376898229
201600046427,0,1,67,1919,2,0,1,2,8,67,25.220769816
201600046816,0,1,45,1283,2,0,2,2,9,45,81.866068298
201600046824,0,1,63,2907,2,0,2,3,16,63,26.068788355
201600046978,0,1,37,3200,2,99,2,4,24,37,42.093845655
201600047023,0,1,63,2906,2,98,2,3,16,63,26.068788355
201600047822,0,1,70,137,2,0,2,3,16,70,28.248233112
201600047989,0,1,49,268,2,0,1,4,21,49,113.37016067
201600048884,0,1,65,2851,2,0,1,3,13,65,28.376898229
201600049052,0,1,54,517,2,0,1,3,14,54,53.819386802
201600049083,0,1,10,315,2,0,1,4,21,10,82.836785936
201600049527,0,1,67,1919,2,0,1,2,8,67,25.220769816
201600049759,0,1,47,2034,2,0,2,2,9,47,68.513530167
201600049760,0,1,47,2034,2,0,2,2,9,47,68.513530167
201600050192,0,1,81,3122,2,0,2,1,4,81,23.081104351
201600050526,0,1,37,3202,2,0,2,4,24,37,42.093845655
201600050581,0,1,37,3200,2,0,2,4,24,37,42.093845655
201600050581,0,2,37,3200,2,0,2,4,24,37,42.093845655
201600051081,0,1,49,260,2,0,1,4,21,49,113.37016067
201600052002,0,1,65,2851,2,98,1,3,13,65,24.694921393
201600052133,0,1,38,573,2,0,1,3,14,38,25.14664824
201600052863,0,1,67,1919,2,0,1,2,8,67,25.220769816
201600053171,0,1,65,2851,2,0,1,3,13,65,28.376898229
201600053823,0,1,49,260,2,0,1,4,21,49,113.37016067
201600054347,0,1,65,2881,2,98,1,3,13,65,28.376898228
201600055497,0,1,60,232,2,0,1,4,21,60,54.432709771
201600056074,0,1,70,138,2,0,2,3,16,70,28.248233112
201600056872,0,1,37,3200,2,0,2,4,24,37,42.093845655
201600056891,0,1,37,3200,2,0,2,4,24,37,75.812284901
201600057373,0,1,12,455,2,98,1,3,12,12,22.785702909
201600057431,0,1,12,456,2,98,1,3,12,12,22.785702909
201600057533,0,1,12,457,2,98,1,3,12,12,22.785702909
201600057550,0,1,12,457,2,98,1,3,12,12,26.183018048
201600057621,0,1,59,506,2,98,1,3,10,59,35.307050984
201600057621,0,2,59,506,2,98,1,3,10,59,35.307050984
201600057737,0,1,28,437,2,98,1,3,11,28,22.89502265
201600057761,0,1,28,437,2,98,1,3,11,28,22.89502265
201600058025,0,1,78,464,2,98,1,3,10,78,24.545879269
201600058270,0,1,28,440,2,98,1,3,11,28,26.308637204
201600058553,0,1,59,505,2,98,1,3,10,59,40.571280897
201600058631,0,1,28,448,2,98,1,3,11,28,26.308637203
201600058832,0,1,28,432,2,0,1,3,11,28,26.308637204
201600058933,0,1,12,457,2,98,1,3,12,12,26.183018048
201600059713,0,1,12,455,2,98,1,3,12,12,26.183018048
201600059955,0,1,78,469,2,98,1,3,10,78,28.205634142
201600061197,0,1,59,505,2,98,1,3,10,59,40.571280897
201600061337,0,1,28,437,2,98,1,3,11,28,26.308637204
201600061412,0,1,12,455,2,0,1,3,12,12,26.183018048
201600061709,0,1,59,504,2,98,1,3,10,59,40.571280897
