CASENUM,VEH_NO,PSU,PJ,STRATUM,PVE_FORMS,PNUMOCCS,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PTRLR1VIN,PTRLR2VIN,PTRLR3VIN,URBANICITY,REGION,PSUSTRAT,PSU_VAR,WEIGHT
201600015251,2,10,322,10,1,0,1,12,0,14,0,2,0,37,32,37032,9,2014,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,4,21,10,427.80596149
201600015948,2,44,388,9,1,0,1,7,29,14,0,2,0,12,481,12481,31,2002,1FTRX18L62NB,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,6,2,12,0,0,0,777777777777,777777777777,777777777777,2,4,25,44,219.79547524
201600015967,2,44,388,10,1,0,1,12,40,14,0,2,0,22,398,22398,1,1997,2G2FV32P6V22,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,4,5,12,0,0,0,777777777777,777777777777,777777777777,2,4,25,44,317.68153186
201600015967,3,44,388,10,1,0,1,12,40,14,0,2,0,7,482,7482,31,1999,1B7KF23Z9XJ6,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,4,5,14,0,0,0,777777777777,777777777777,777777777777,2,4,25,44,317.68153186
201600016184,2,65,2881,5,1,0,1,18,39,14,0,3,0,12,422,12422,15,2003,1FMFU17L43LC,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,6,2,12,0,0,0,777777777777,777777777777,777777777777,1,3,13,65,26.423121005
201600016502,2,27,893,10,1,0,1,2,3,14,0,2,0,6,441,6441,20,2006,2A4GP54L46R6,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,8,5,12,0,0,0,777777777777,777777777777,777777777777,1,2,6,27,208.54041791
201600016502,3,27,893,10,1,0,1,2,3,14,0,2,0,12,422,12422,15,2003,1FMPU16W43LC,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,11,8,5,12,0,0,0,777777777777,777777777777,777777777777,1,2,6,27,208.54041791
201600016502,4,27,893,10,1,0,1,2,3,14,0,2,0,12,37,12037,4,2014,1FADP3EWXEL1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,61,8,5,12,0,0,0,777777777777,777777777777,777777777777,1,2,6,27,208.54041791
201600016762,2,65,2851,8,1,0,1,3,30,14,0,2,0,12,3,12003,2,2002,1FAFP40452F1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,11,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,3,13,65,139.83639946
201600017006,2,70,138,10,1,0,1,23,57,14,0,2,0,49,422,49422,15,2004,5TDZT38A04S2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,2,5,12,0,0,0,777777777777,777777777777,777777777777,2,3,16,70,215.218122
201600017272,2,60,232,6,1,0,1,6,18,14,0,2,0,49,442,49442,20,1998,999999999999,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,4,3,12,0,0,0,777777777777,777777777777,777777777777,1,4,21,60,111.52292502
201600017608,3,65,2854,7,2,0,1,13,18,12,2,2,0,18,7,18007,4,2003,2G4WS52J7312,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,3,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,3,13,65,174.05401633
201600018705,2,70,138,9,1,0,1,15,1,18,0,3,0,21,401,21401,14,1994,1GHDT13W3R07,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,2,5,12,0,0,0,777777777777,777777777777,777777777777,2,3,16,70,146.52410486
201600018705,3,70,138,9,1,0,1,15,1,18,0,3,0,12,13,12013,4,1999,1FAFP13P3XW1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,4,5,12,0,0,0,777777777777,777777777777,777777777777,2,3,16,70,146.52410486
201600018834,2,65,2851,10,1,0,1,20,30,14,0,2,0,48,401,48401,14,2016,JF2SJADC9GH4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,2,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,3,13,65,268.97048064
201600019049,2,65,2851,4,3,1,1,11,37,14,0,2,0,82,881,82881,66,1999,1FUYSZYB7XLV,1,57,02629331,5702629331,3,6,4,1,0,0,0,0,0,0,0,6,6,2,12,0,0,0,1A9A1B126F11,777777777777,777777777777,1,3,13,65,14.873035746
201600019594,2,46,362,10,1,0,1,4,0,14,0,2,0,20,481,20481,31,2004,1GCEK19T04E2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,61,8,5,12,0,0,0,777777777777,777777777777,777777777777,1,4,22,46,292.62224233
201600020004,2,27,905,10,1,0,1,12,40,14,0,2,0,2,405,2405,14,2011,1J4PN5GK5BW5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,8,5,12,0,0,0,777777777777,777777777777,777777777777,1,2,6,27,208.5404179
