YEAR,CASENUM,VEH_NO,WEIGHT,A_BODY,A_IMP1,A_VROLL,A_SPVEH,A_MOD_YR
2016,201600014311,1,219.79547524,1,2,2,2,2002
2016,201600014311,2,219.79547524,1,5,2,2,2013
2016,201600014315,1,186.63475792,2,2,2,2,1995
2016,201600014315,2,186.63475792,2,2,2,2,2004
2016,201600014316,1,32.222549915,1,2,1,2,2002
2016,201600014335,1,317.68153186,1,2,2,2,1999
2016,201600014335,2,317.68153186,1,2,2,2,2004
2016,201600014586,1,37.251626333,1,2,2,1,1996
2016,201600014593,1,379.90576962,2,2,2,1,1997
2016,201600014593,2,379.90576962,1,4,2,2,2010
2016,201600014603,1,210.22081048,2,2,2,1,2015
2016,201600014603,2,210.22081048,2,4,2,2,2003
2016,201600014603,3,210.22081048,1,4,2,2,2016
2016,201600014603,4,210.22081048,3,4,2,2,2006
2016,201600014610,1,42.692621452,7,4,2,2,2015
2016,201600014610,2,42.692621452,4,2,2,2,2013
2016,201600014622,1,247.51222257,2,2,2,2,2009
2016,201600014622,2,247.51222257,2,5,2,2,2014
2016,201600014624,1,37.251626333,9,1,1,1,2003
2016,201600015222,1,317.68153186,1,3,2,2,2007
2016,201600015222,2,317.68153186,1,2,2,2,1989
2016,201600015227,1,73.193140876,1,2,2,2,2014
2016,201600015227,2,73.193140876,1,4,2,2,2012
2016,201600015227,3,73.193140876,1,4,2,2,2013
2016,201600015251,1,427.80596149,7,3,2,2,2015
2016,201600015256,1,292.02473906,1,2,2,1,2000
2016,201600015256,2,292.02473906,2,4,2,2,2014
2016,201600015257,1,50.453748631,1,3,2,2,1996
2016,201600015268,1,50.453748631,2,2,2,2,2009
2016,201600015305,1,248.71541756,1,2,2,2,2004
2016,201600015805,1,182.43353255,2,2,2,2,1992
2016,201600015805,2,182.43353255,2,5,2,2,2008
2016,201600015883,1,182.43353255,3,2,2,1,2000
2016,201600015924,1,119.83077838,2,2,2,2,2011
2016,201600015924,2,119.83077838,8,4,2,2,2003
2016,201600015934,1,183.80663792,1,4,2,2,2015
2016,201600015934,2,183.80663792,2,2,2,2,2001
2016,201600015940,1,310.40470173,3,3,2,1,2004
2016,201600015944,1,24.56993937,6,2,2,2,2012
2016,201600015944,2,24.56993937,3,5,2,2,2002
2016,201600015948,1,219.79547524,3,2,2,2,2013
2016,201600015958,1,186.63475792,3,2,2,1,1994
2016,201600015960,1,63.697534598,6,2,2,2,2007
2016,201600015960,2,63.697534598,1,4,2,2,2013
2016,201600015967,1,317.68153186,3,2,2,1,1992
2016,201600016011,1,183.80663792,4,5,2,2,2008
2016,201600016011,2,183.80663792,1,2,2,2,2012
2016,201600016014,1,215.218122,1,2,2,2,2001
2016,201600016014,2,215.218122,1,3,2,2,1997
2016,201600016016,1,310.40470173,1,4,2,2,2007
2016,201600016016,2,310.40470173,2,2,2,2,2005
2016,201600016018,1,182.43353255,3,2,2,2,2004
2016,201600016018,2,182.43353255,1,2,2,2,2010
2016,201600016018,3,182.43353255,2,4,1,2,1998
2016,201600016026,1,40.555730682,7,1,2,1,2006
2016,201600016027,1,89.222607501,3,2,2,2,2006
2016,201600016027,2,89.222607501,1,2,2,2,2005
2016,201600016163,1,317.68153186,2,2,2,2,2006
2016,201600016163,2,317.68153186,1,4,2,2,2002
2016,201600016164,1,34.558085527,4,2,2,1,2011
2016,201600016164,2,34.558085527,2,2,2,2,2001
2016,201600016166,1,54.086402528,1,2,2,2,2007
2016,201600016166,2,54.086402528,1,2,2,2,2015
2016,201600016167,1,33.379413655,3,2,2,2,2007
2016,201600016167,2,33.379413655,7,3,2,2,2016
2016,201600016169,1,268.97048065,1,2,2,2,2009
2016,201600016171,1,174.05401633,6,3,2,2,2015
2016,201600016171,2,174.05401633,1,5,2,2,2005
2016,201600016175,1,26.423121005,4,2,2,2,2008
2016,201600016175,2,26.423121005,1,4,2,2,2011
2016,201600016176,1,54.086402526,1,2,2,2,2006
2016,201600016176,2,54.086402526,1,2,2,2,2013
2016,201600016184,1,26.423121005,2,2,2,2,2001
2016,201600016195,1,198.91180386,5,2,2,2,1990
2016,201600016195,2,198.91180386,8,4,2,2,2010
2016,201600016200,1,73.193140876,3,2,2,2,2004
2016,201600016200,2,73.193140876,3,4,2,2,2012
2016,201600016203,1,219.79547524,1,2,2,2,2014
2016,201600016215,1,186.63475792,3,2,2,2,2007
2016,201600016215,2,186.63475792,1,2,2,2,2002
2016,201600016215,3,186.63475792,1,2,2,2,2007
2016,201600016218,1,317.68153186,3,2,2,2,2005
2016,201600016218,2,317.68153186,1,3,2,2,1997
2016,201600016237,1,219.79547524,2,2,2,2,2007
2016,201600016237,2,219.79547524,1,4,2,2,2014
2016,201600016254,1,35.950176889,1,2,2,2,2005
2016,201600016258,1,73.193140876,1,2,2,2,2015
2016,201600016258,2,73.193140876,1,2,2,2,2000
2016,201600016261,1,317.68153186,1,2,2,2,2001
2016,201600016261,2,317.68153186,2,4,2,2,2011
2016,201600016301,1,139.83639947,3,5,2,2,2006
2016,201600016301,2,139.83639947,2,3,2,2,2006
2016,201600016319,1,219.79547524,4,3,2,2,2002
2016,201600016319,2,219.79547524,1,5,2,2,2013
2016,201600016321,1,186.63475792,4,2,2,2,2012
2016,201600016321,2,186.63475792,1,4,2,2,2006
2016,201600016323,1,268.97048065,1,2,2,2,2003
2016,201600016343,1,137.27110719,3,5,2,2,2006
2016,201600016343,2,137.27110719,1,2,2,2,2007
2016,201600016363,1,181.67007486,1,3,2,2,2010
