CASENUM,VEH_NO,PER_NO,REGION,PSU,PJ,PSU_VAR,URBANICITY,STRATUM,MPR_ACT,PSUSTRAT,WEIGHT
201700000162,0,1,4,49,261,49,1,2,3,21,27.015279103
201700000411,0,1,3,78,452,78,1,2,3,10,23.532293102
201700000595,0,1,3,12,457,12,1,2,3,12,23.507377501
201700001316,0,1,3,59,479,59,1,2,3,10,24.053779742
201700002332,0,1,3,48,87,48,1,2,5,12,23.857577604
201700002471,0,1,3,70,138,70,2,2,11,16,26.875292293
201700002552,0,1,4,64,305,64,1,2,3,23,26.743377229
201700003053,0,1,3,12,457,12,1,2,14,12,23.507377501
201700003084,0,1,3,75,1230,75,2,2,3,19,22.389819235
201700003536,0,1,3,28,437,28,1,2,3,11,23.441373985
201700003795,0,1,4,56,189,189,1,2,3,20,27.561244315
201700003891,0,1,4,49,261,49,1,2,3,21,27.015279103
201700004816,0,1,3,12,457,12,1,2,3,12,23.507377501
201700005110,0,1,4,56,206,206,1,2,5,20,27.561244315
201700005126,0,1,4,56,206,206,1,2,3,20,27.561244315
201700005175,0,1,2,67,1919,67,1,2,3,8,23.019097849
201700005179,0,1,3,82,2152,82,2,2,11,19,23.014580738
201700005188,0,1,1,80,1800,80,1,2,8,2,24.147499322
201700005232,0,1,3,82,2152,82,2,2,3,19,23.014580738
201700005832,0,1,1,80,1800,80,1,2,6,2,25.549563247
201700005877,0,1,3,82,2152,82,2,2,5,19,23.014580738
201700006047,0,1,3,51,1098,51,1,2,5,10,23.541237328
201700006073,0,1,3,51,1078,51,1,2,3,10,23.541237328
201700006096,0,1,3,51,1098,51,1,2,6,10,23.541237328
201700006203,0,1,3,51,1098,51,1,2,3,10,23.541237328
201700006351,0,1,1,15,2513,15,2,2,5,5,22.366102021
201700006378,0,1,2,67,1919,67,1,2,3,8,23.019097849
201700006453,0,1,1,80,1800,80,1,2,5,2,24.147499322
201700006533,0,1,4,60,232,60,1,2,3,21,27.833767483
201700006533,0,2,4,60,232,60,1,2,3,21,27.833767483
201700006940,0,1,3,12,459,12,1,2,3,12,22.837743853
201700007301,0,1,4,56,208,208,1,2,3,20,27.561244315
201700007512,0,1,4,56,189,189,1,2,5,20,27.561244315
201700007625,0,1,1,80,1800,80,1,2,3,2,24.147499322
201700007625,0,2,1,80,1800,80,1,2,3,2,24.147499322
201700007645,0,1,4,44,388,44,2,2,5,25,23.029361188
201700007677,0,1,4,44,388,44,2,2,11,25,23.029361188
201700007785,0,1,2,67,1919,67,1,2,8,8,23.019097849
201700008168,0,1,1,80,1800,80,1,2,3,2,24.147499322
201700008358,0,1,2,67,1919,67,1,2,3,8,23.019097849
201700008423,0,1,2,29,966,29,1,2,3,7,29.88155047
201700008651,0,1,1,80,1800,80,1,2,5,2,24.147499322
201700008720,0,1,1,31,1709,31,1,2,14,2,24.503176565
201700008763,0,1,1,31,1709,31,1,2,3,2,24.503176565
201700008860,0,1,2,58,3224,58,1,2,5,6,22.499351782
201700008860,0,2,2,58,3224,58,1,2,5,6,22.499351782
201700008860,0,3,2,58,3224,58,1,2,5,6,22.499351782
201700008860,0,4,2,58,3224,58,1,2,5,6,22.499351782
201700008860,0,5,2,58,3224,58,1,2,5,6,22.499351782
201700008918,0,1,2,58,3248,58,1,2,3,6,22.499351782
201700008918,0,1,2,58,3248,58,1,2,11,6,22.499351782
201700008928,0,1,2,58,3248,58,1,2,3,6,22.499351782
201700008928,0,2,2,58,3248,58,1,2,3,6,22.499351782
201700008928,0,3,2,58,3248,58,1,2,3,6,22.499351782
201700009023,0,1,2,58,3248,58,1,2,3,6,22.499351782
201700009065,0,1,2,58,3248,58,1,2,3,6,22.499351782
201700009104,0,1,2,58,3248,58,1,2,3,6,22.499351782
201700009145,0,1,2,58,3248,58,1,2,5,6,22.499351782
201700009181,0,1,2,58,3248,58,1,2,3,6,22.499351782
201700009211,0,1,2,58,3248,58,1,2,3,6,22.499351782
201700009260,0,1,2,58,3248,58,1,2,3,6,22.499351782
201700009287,0,1,2,58,3248,58,1,2,3,6,22.499351782
201700009474,0,1,2,58,3246,58,1,2,5,6,22.499351783
201700009717,0,1,3,40,3106,40,1,2,3,15,23.201763174
201700009784,0,1,2,67,1919,67,1,2,6,8,23.019097849
201700009999,0,1,3,62,567,62,2,2,3,18,22.750095989
201700010011,0,1,4,60,232,60,1,2,3,21,27.833767483
201700010114,0,1,4,60,234,60,1,2,3,21,27.833767485
201700010214,0,1,2,45,1308,45,2,2,8,9,19.623327151
201700010268,0,1,3,35,2799,35,1,2,5,13,23.614015947
201700010477,0,1,1,31,1709,31,1,2,3,2,24.503176565
201700010520,0,1,3,65,2851,65,1,2,3,13,23.546493198
201700010534,0,1,4,10,329,10,1,2,5,21,29.810851246
201700010783,0,1,1,31,1710,31,1,2,3,2,24.503176566
201700010955,0,1,2,67,1919,67,1,2,3,8,23.019097849
201700010998,0,1,3,17,1036,17,1,2,3,15,23.584141034
201700011027,0,1,3,17,1038,17,1,2,3,15,23.584141034
201700011123,0,1,3,17,1053,17,1,2,3,15,23.584141034
201700011286,0,1,3,17,1053,17,1,2,16,15,23.584141034
201700011438,0,1,3,17,1053,17,1,2,3,15,23.584141034
201700011736,0,1,3,38,573,38,1,2,5,14,23.612683469
201700011874,0,1,2,67,1919,67,1,2,5,8,23.019097849
201700011914,0,1,3,33,1459,33,1,2,3,11,23.190145815
201700011923,0,1,3,65,2851,65,1,2,14,13,23.546493198
201700011923,0,2,3,65,2851,65,1,2,14,13,23.546493198
201700012205,0,1,2,77,641,77,2,2,11,9,37.93078298
201700012292,0,1,2,77,652,77,2,2,6,9,53.957866279
201700012330,0,1,2,77,687,77,2,2,3,9,121.63315714
201700012478,0,1,4,64,305,64,1,2,3,23,26.743377229
201700012767,0,1,4,49,261,49,1,2,5,21,27.015279103
201700012789,0,1,4,49,261,49,1,2,2,21,27.015279103
201700012789,0,1,4,49,261,49,1,2,9,21,27.015279103
201700012838,0,1,4,49,261,49,1,2,3,21,27.015279103
201700013596,0,1,4,49,4015,49,1,2,3,21,27.015279103
