CASENUM,VEH_NO,REGION,PSU,PJ,PSU_VAR,URBANICITY,STRATUM,PVE_FORMS,PNUMOCCS,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PTRLR1VIN,PTRLR2VIN,PTRLR3VIN,PSUSTRAT,WEIGHT
201700001771,2,4,56,211,211,1,9,1,0,3,14,30,14,0,2,0,12,481,12481,34,2006,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,10,2,5,12,0,0,0,777777777777,777777777777,777777777777,20,180.37024724
201700002422,2,3,70,138,70,2,10,1,0,7,19,11,14,0,2,0,20,461,20461,21,2007,1GCFG15X2712,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,4,2,5,12,0,0,0,777777777777,777777777777,777777777777,16,204.71692831
201700003378,2,3,59,504,59,1,8,1,0,7,14,0,14,0,2,0,63,36,63036,6,2009,KNAFG5269972,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,6,2,12,0,0,0,777777777777,777777777777,777777777777,10,126.22298206
201700004004,2,4,49,262,49,1,3,3,1,3,17,40,14,0,2,0,30,42,30042,9,2009,WVED71K39W14,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,2,4,3,12,0,0,0,777777777777,777777777777,777777777777,21,27.870445436
201700004166,2,3,59,505,59,1,7,1,1,7,11,0,14,0,3,0,2,1,2001,6,2007,1J8FT47007D4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,2,5,12,0,0,0,777777777777,777777777777,777777777777,10,132.29483644
201700005216,2,2,67,1919,67,1,10,1,0,4,99,99,14,0,2,0,47,35,47035,4,2007,YS3FD49Y0711,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,2,5,12,0,0,0,777777777777,777777777777,777777777777,8,202.68214761
201700005677,2,3,82,2152,82,2,10,1,0,6,19,25,14,0,2,0,37,31,37031,2,2004,1HGEM22914L0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,2,5,12,0,0,0,777777777777,777777777777,777777777777,19,200.99400511
201700005690,2,2,67,1919,67,1,8,1,0,4,9,11,14,0,2,0,20,36,20036,2,2003,2G1WW12E2392,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,6,2,12,0,0,0,777777777777,777777777777,777777777777,8,120.5459308
201700005690,3,2,67,1919,67,1,8,1,0,4,9,11,14,0,2,0,54,38,54038,3,2002,JH4DC53812C0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,4,5,14,0,0,0,777777777777,777777777777,777777777777,8,120.5459308
201700005690,4,2,67,1919,67,1,8,1,0,4,9,11,14,0,2,0,20,37,20037,4,2006,1G1ZS51F76F3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,2,5,14,0,0,0,777777777777,777777777777,777777777777,8,120.5459308
201700005721,1,1,13,1207,13,1,7,1,0,7,9,36,14,0,2,0,55,399,55399,9,2014,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,8,5,12,0,0,0,777777777777,777777777777,777777777777,3,132.24071911
201700005792,2,3,82,2152,82,2,8,1,0,6,14,25,53,0,2,0,12,17,12017,4,2015,1FAHP2MK7FG1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,4,3,12,0,0,0,777777777777,777777777777,777777777777,19,115.07290369
201700005804,1,1,13,1208,13,1,10,1,0,7,18,39,14,0,2,0,49,399,49399,9,2006,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,8,5,12,0,0,0,777777777777,777777777777,777777777777,3,217.01269511
201700005862,2,3,55,1075,55,2,10,1,0,7,2,8,14,0,2,0,49,482,49482,34,2001,5TBRT38131S2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,81,2,5,12,0,0,0,777777777777,777777777777,777777777777,17,204.86934893
201700005948,2,4,24,171,24,2,5,1,0,6,19,34,14,0,2,0,98,998,98998,95,9999,999999999999,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,777777777777,777777777777,777777777777,24,21.316516102
